root@vps-ffff604a:/www/wwwroot/f.snaptik.fit/yt-dlp/yt-dlp-stream# docker compose -f docker-compose.proton.yml logs -f gateway-warp
ytdlp-gateway-warp  | 2026/04/04 08:30:48 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:53798->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:48 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:53808->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:48 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:53790->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:49 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:53810->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:50 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:60974->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:50 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:60980->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:51 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:60986->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:51 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:60990->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:52 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:32768->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:30:52 [w5] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:30:58 [w6] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:31:06 [w7] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:31:09 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:31:09 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:31:09 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:31:13 [w8] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:31:20 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:31:22 [w9] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:31:28 [w10] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:31:59 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:31:59 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:31:59 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:32:00 [w1] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:32:10 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:32:27 [w3] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:32:27 [w3] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:32:27 [w3] restarting ytdlp-gluetun-3
ytdlp-gateway-warp  | 2026/04/04 08:32:34 [w4] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:32:34 [w4] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:32:34 [w4] restarting ytdlp-gluetun-4
ytdlp-gateway-warp  | 2026/04/04 08:32:38 [w3] restarting ytdlp-stream-3
ytdlp-gateway-warp  | 2026/04/04 08:32:39 [extractor:w3] tiktok ipc error: read tcp 172.30.0.13:35190->172.30.0.3:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:32:42 [w5] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:32:42 [w5] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:32:42 [extractor:w5] tiktok ipc error: read tcp 172.30.0.13:51712->172.30.0.9:9487: i/o timeout
ytdlp-gateway-warp  | 2026/04/04 08:32:42 [w5] restarting ytdlp-gluetun-5
ytdlp-gateway-warp  | 2026/04/04 08:32:45 [w4] restarting ytdlp-stream-4
ytdlp-gateway-warp  | 2026/04/04 08:32:51 [w2] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:32:53 [w5] restarting ytdlp-stream-5
ytdlp-gateway-warp  | 2026/04/04 08:32:54 [w6] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:32:54 [w6] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:32:54 [w6] restarting ytdlp-gluetun-6
ytdlp-gateway-warp  | 2026/04/04 08:33:05 [w6] restarting ytdlp-stream-6
ytdlp-gateway-warp  | 2026/04/04 08:33:07 [extractor:w6] tiktok ipc error: read tcp 172.30.0.13:52120->172.30.0.8:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:33:10 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:33:10 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:33:10 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:33:19 [w3] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:33:21 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:33:26 [w4] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:33:34 [w5] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:33:45 [w6] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:33:58 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:33:58 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:33:58 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:34:02 [w1] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:34:09 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:34:44 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:34:44 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:34:44 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:34:49 [w2] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:34:49 [w3] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:34:49 [w3] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:34:49 [w3] restarting ytdlp-gluetun-3
ytdlp-gateway-warp  | 2026/04/04 08:34:55 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:34:57 [w4] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:34:57 [w4] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:34:57 [w4] restarting ytdlp-gluetun-4
ytdlp-gateway-warp  | 2026/04/04 08:35:01 [w3] restarting ytdlp-stream-3
ytdlp-gateway-warp  | 2026/04/04 08:35:05 [w5] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:05 [w5] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:05 [w5] restarting ytdlp-gluetun-5
ytdlp-gateway-warp  | 2026/04/04 08:35:08 [w4] restarting ytdlp-stream-4
ytdlp-gateway-warp  | 2026/04/04 08:35:12 [w6] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:12 [w6] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:12 [w6] restarting ytdlp-gluetun-6
ytdlp-gateway-warp  | 2026/04/04 08:35:16 [w5] restarting ytdlp-stream-5
ytdlp-gateway-warp  | 2026/04/04 08:35:18 [w7] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:18 [w7] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:18 [w7] restarting ytdlp-gluetun-7
ytdlp-gateway-warp  | 2026/04/04 08:35:23 [w6] restarting ytdlp-stream-6
ytdlp-gateway-warp  | 2026/04/04 08:35:26 [w8] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:26 [w8] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:26 [w8] restarting ytdlp-gluetun-8
ytdlp-gateway-warp  | 2026/04/04 08:35:29 [w7] restarting ytdlp-stream-7
ytdlp-gateway-warp  | 2026/04/04 08:35:34 [w9] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:34 [w9] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:34 [w9] restarting ytdlp-gluetun-9
ytdlp-gateway-warp  | 2026/04/04 08:35:35 [w1] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:35:37 [w8] restarting ytdlp-stream-8
ytdlp-gateway-warp  | 2026/04/04 08:35:40 [w10] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:40 [w10] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:40 [w10] restarting ytdlp-gluetun-10
ytdlp-gateway-warp  | 2026/04/04 08:35:41 [w3] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:35:44 [w9] restarting ytdlp-stream-9
ytdlp-gateway-warp  | 2026/04/04 08:35:48 [w4] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:35:51 [w10] restarting ytdlp-stream-10
ytdlp-gateway-warp  | 2026/04/04 08:35:51 [extractor:w10] tiktok ipc error: read tcp 172.30.0.13:56062->172.30.0.5:9487: read: connection reset by peer
ytdlp-gateway-warp  | 2026/04/04 08:35:56 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:35:56 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:35:56 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:35:56 [w5] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:03 [w6] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:07 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:36:09 [w7] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:17 [w8] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:25 [w9] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:31 [w10] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:45 [w1] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:36:45 [w1] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:36:45 [w1] restarting ytdlp-gluetun-1
ytdlp-gateway-warp  | 2026/04/04 08:36:47 [w2] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:36:56 [w1] restarting ytdlp-stream-1
ytdlp-gateway-warp  | 2026/04/04 08:37:32 [w3] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:37:32 [w3] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:37:32 [w3] restarting ytdlp-gluetun-3
ytdlp-gateway-warp  | 2026/04/04 08:37:36 [w1] restarted successfully
ytdlp-gateway-warp  | 2026/04/04 08:37:37 [w2] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:37:37 [w2] restart scheduled
ytdlp-gateway-warp  | 2026/04/04 08:37:37 [w2] restarting ytdlp-gluetun-2
ytdlp-gateway-warp  | 2026/04/04 08:37:43 [w3] restarting ytdlp-stream-3
ytdlp-gateway-warp  | 2026/04/04 08:37:49 [w2] restarting ytdlp-stream-2
ytdlp-gateway-warp  | 2026/04/04 08:37:53 [w4] circuit opened (drain mode)
ytdlp-gateway-warp  | 2026/04/04 08:37:53 [w4] restart scheduled
